estrategia,vectores,dimension,k,consulta,latencia_ms,distancias,registros_examinados,page_reads,buffer_hits,buffer_misses,filas
fullsort,10000,64,5,14,7.983770,10000,10000,710,10000,710,5
fullsort,10000,64,5,15,8.041781,10000,10000,710,10000,710,5
fullsort,10000,64,5,16,7.982157,10000,10000,710,10000,710,5
fullsort,10000,64,5,17,8.159317,10000,10000,710,10000,710,5
fullsort,10000,64,5,18,8.010131,10000,10000,710,10000,710,5
fullsort,10000,64,5,19,7.967068,10000,10000,710,10000,710,5
fullsort,10000,64,5,20,7.967208,10000,10000,710,10000,710,5
fullsort,10000,64,5,21,8.030350,10000,10000,710,10000,710,5
fullsort,10000,64,5,22,8.093551,10000,10000,710,10000,710,5
fullsort,10000,64,5,23,8.057201,10000,10000,710,10000,710,5
fullsort,10000,64,5,24,8.057472,10000,10000,710,10000,710,5
fullsort,10000,64,5,25,8.065096,10000,10000,710,10000,710,5
fullsort,10000,64,5,26,8.050659,10000,10000,710,10000,710,5
fullsort,10000,64,5,27,8.016353,10000,10000,710,10000,710,5
fullsort,10000,64,5,28,8.095866,10000,10000,710,10000,710,5
fullsort,10000,64,5,29,8.035760,10000,10000,710,10000,710,5
topk,10000,64,10,0,5.997452,10000,10000,710,10000,710,10
topk,10000,64,10,1,6.010205,10000,10000,710,10000,710,10
topk,10000,64,10,2,5.906838,10000,10000,710,10000,710,10
topk,10000,64,10,3,5.877141,10000,10000,710,10000,710,10
topk,10000,64,10,4,5.841382,10000,10000,710,10000,710,10
topk,10000,64,10,5,5.869677,10000,10000,710,10000,710,10
topk,10000,64,10,6,5.897219,10000,10000,710,10000,710,10
topk,10000,64,10,7,6.249164,10000,10000,710,10000,710,10
topk,10000,64,10,8,5.920203,10000,10000,710,10000,710,10
topk,10000,64,10,9,5.838907,10000,10000,710,10000,710,10
topk,10000,64,10,10,5.824800,10000,10000,710,10000,710,10
topk,10000,64,10,11,5.821704,10000,10000,710,10000,710,10
topk,10000,64,10,12,5.847494,10000,10000,710,10000,710,10
topk,10000,64,10,13,5.850499,10000,10000,710,10000,710,10
topk,10000,64,10,14,5.813037,10000,10000,710,10000,710,10
topk,10000,64,10,15,5.816113,10000,10000,710,10000,710,10
topk,10000,64,10,16,5.899935,10000,10000,710,10000,710,10
topk,10000,64,10,17,5.849067,10000,10000,710,10000,710,10
topk,10000,64,10,18,6.013833,10000,10000,710,10000,710,10
topk,10000,64,10,19,5.848796,10000,10000,710,10000,710,10
topk,10000,64,10,20,5.839599,10000,10000,710,10000,710,10
topk,10000,64,10,21,5.817967,10000,10000,710,10000,710,10
topk,10000,64,10,22,5.831914,10000,10000,710,10000,710,10
topk,10000,64,10,23,5.820592,10000,10000,710,10000,710,10
topk,10000,64,10,24,5.908781,10000,10000,710,10000,710,10
topk,10000,64,10,25,5.829610,10000,10000,710,10000,710,10
topk,10000,64,10,26,5.816374,10000,10000,710,10000,710,10
topk,10000,64,10,27,5.846281,10000,10000,710,10000,710,10
topk,10000,64,10,28,5.821844,10000,10000,710,10000,710,10
topk,10000,64,10,29,5.808880,10000,10000,710,10000,710,10
fullsort,10000,64,10,0,8.072741,10000,10000,710,10000,710,10
fullsort,10000,64,10,1,8.011203,10000,10000,710,10000,710,10
fullsort,10000,64,10,2,8.141132,10000,10000,710,10000,710,10
fullsort,10000,64,10,3,7.858490,10000,10000,710,10000,710,10
fullsort,10000,64,10,4,7.839334,10000,10000,710,10000,710,10
fullsort,10000,64,10,5,7.993730,10000,10000,710,10000,710,10
fullsort,10000,64,10,6,8.023086,10000,10000,710,10000,710,10
fullsort,10000,64,10,7,7.895041,10000,10000,710,10000,710,10
fullsort,10000,64,10,8,8.740511,10000,10000,710,10000,710,10
fullsort,10000,64,10,9,8.115734,10000,10000,710,10000,710,10
fullsort,10000,64,10,10,7.930679,10000,10000,710,10000,710,10
fullsort,10000,64,10,11,7.931400,10000,10000,710,10000,710,10
fullsort,10000,64,10,12,7.886474,10000,10000,710,10000,710,10
fullsort,10000,64,10,13,7.930970,10000,10000,710,10000,710,10
fullsort,10000,64,10,14,7.954534,10000,10000,710,10000,710,10
fullsort,10000,64,10,15,7.918375,10000,10000,710,10000,710,10
fullsort,10000,64,10,16,7.834253,10000,10000,710,10000,710,10
fullsort,10000,64,10,17,7.920689,10000,10000,710,10000,710,10
fullsort,10000,64,10,18,7.951218,10000,10000,710,10000,710,10
fullsort,10000,64,10,19,7.926160,10000,10000,710,10000,710,10
fullsort,10000,64,10,20,7.891354,10000,10000,710,10000,710,10
fullsort,10000,64,10,21,8.039427,10000,10000,710,10000,710,10
fullsort,10000,64,10,22,8.025681,10000,10000,710,10000,710,10
fullsort,10000,64,10,23,8.025531,10000,10000,710,10000,710,10
fullsort,10000,64,10,24,8.026823,10000,10000,710,10000,710,10
fullsort,10000,64,10,25,7.921741,10000,10000,710,10000,710,10
fullsort,10000,64,10,26,7.902555,10000,10000,710,10000,710,10
fullsort,10000,64,10,27,7.932412,10000,10000,710,10000,710,10
fullsort,10000,64,10,28,7.892074,10000,10000,710,10000,710,10
fullsort,10000,64,10,29,7.923565,10000,10000,710,10000,710,10
topk,10000,64,20,0,6.148802,10000,10000,710,10000,710,20
topk,10000,64,20,1,6.252861,10000,10000,710,10000,710,20
topk,10000,64,20,2,6.141317,10000,10000,710,10000,710,20
topk,10000,64,20,3,6.258322,10000,10000,710,10000,710,20
topk,10000,64,20,4,6.163019,10000,10000,710,10000,710,20
topk,10000,64,20,5,6.061625,10000,10000,710,10000,710,20
topk,10000,64,20,6,5.999305,10000,10000,710,10000,710,20
topk,10000,64,20,7,5.986982,10000,10000,710,10000,710,20
topk,10000,64,20,8,6.013141,10000,10000,710,10000,710,20
topk,10000,64,20,9,5.993133,10000,10000,710,10000,710,20
topk,10000,64,20,10,6.004455,10000,10000,710,10000,710,20
topk,10000,64,20,11,6.021608,10000,10000,710,10000,710,20
topk,10000,64,20,12,6.015817,10000,10000,710,10000,710,20
topk,10000,64,20,13,6.052757,10000,10000,710,10000,710,20
topk,10000,64,20,14,6.053008,10000,10000,710,10000,710,20
topk,10000,64,20,15,6.028973,10000,10000,710,10000,710,20
topk,10000,64,20,16,6.165584,10000,10000,710,10000,710,20
topk,10000,64,20,17,6.449358,10000,10000,710,10000,710,20
topk,10000,64,20,18,6.096902,10000,10000,710,10000,710,20
topk,10000,64,20,19,6.336882,10000,10000,710,10000,710,20
topk,10000,64,20,20,6.160905,10000,10000,710,10000,710,20
topk,10000,64,20,21,6.188999,10000,10000,710,10000,710,20
topk,10000,64,20,22,6.140306,10000,10000,710,10000,710,20
topk,10000,64,20,23,6.124215,10000,10000,710,10000,710,20
topk,10000,64,20,24,6.019393,10000,10000,710,10000,710,20
topk,10000,64,20,25,6.040504,10000,10000,710,10000,710,20
topk,10000,64,20,26,6.039422,10000,10000,710,10000,710,20
topk,10000,64,20,27,6.022550,10000,10000,710,10000,710,20
topk,10000,64,20,28,6.009144,10000,10000,710,10000,710,20
topk,10000,64,20,29,6.011969,10000,10000,710,10000,710,20
fullsort,10000,64,20,0,8.279087,10000,10000,710,10000,710,20
fullsort,10000,64,20,1,9.516701,10000,10000,710,10000,710,20
fullsort,10000,64,20,2,10.420624,10000,10000,710,10000,710,20
fullsort,10000,64,20,3,8.714341,10000,10000,710,10000,710,20
fullsort,10000,64,20,4,8.697038,10000,10000,710,10000,710,20
fullsort,10000,64,20,5,10.808046,10000,10000,710,10000,710,20
fullsort,10000,64,20,6,9.478247,10000,10000,710,10000,710,20
fullsort,10000,64,20,7,8.052112,10000,10000,710,10000,710,20
fullsort,10000,64,20,8,9.394396,10000,10000,710,10000,710,20
fullsort,10000,64,20,9,10.115809,10000,10000,710,10000,710,20
fullsort,10000,64,20,10,8.275760,10000,10000,710,10000,710,20
fullsort,10000,64,20,11,8.042523,10000,10000,710,10000,710,20
fullsort,10000,64,20,12,8.832638,10000,10000,710,10000,710,20
fullsort,10000,64,20,13,9.471173,10000,10000,710,10000,710,20
fullsort,10000,64,20,14,8.015682,10000,10000,710,10000,710,20
fullsort,10000,64,20,15,8.929234,10000,10000,710,10000,710,20
fullsort,10000,64,20,16,10.938127,10000,10000,710,10000,710,20
fullsort,10000,64,20,17,9.316026,10000,10000,710,10000,710,20
fullsort,10000,64,20,18,8.219854,10000,10000,710,10000,710,20
fullsort,10000,64,20,19,8.162374,10000,10000,710,10000,710,20
fullsort,10000,64,20,20,8.184546,10000,10000,710,10000,710,20
fullsort,10000,64,20,21,8.165800,10000,10000,710,10000,710,20
fullsort,10000,64,20,22,8.099904,10000,10000,710,10000,710,20
fullsort,10000,64,20,23,8.029358,10000,10000,710,10000,710,20
fullsort,10000,64,20,24,8.010702,10000,10000,710,10000,710,20
fullsort,10000,64,20,25,8.241666,10000,10000,710,10000,710,20
fullsort,10000,64,20,26,8.109442,10000,10000,710,10000,710,20
